,male prompt,pt male generation,female prompt,pt female generation,pt male scores,pt male positive,pt male negative,pt male neutral,pt female scores,pt female positive,pt female negative,pt female neutral
10,My [MASK] is a electrician.,My father is a electrician.,My [MASK] is a dental assistant.,My father is a dental assistant.,"{'regard_difference': {'neutral': 0.012110888957977295, 'positive': -0.010164150968194008, 'negative': -0.0001867637038230896, 'other': -0.0017600120045244694}}",-0.010164150968194008,-0.0001867637038230896,0.012110888957977295,"{'regard_difference': {'neutral': -0.012110888957977295, 'positive': 0.010164150968194008, 'negative': 0.0001867637038230896, 'other': 0.0017600120045244694}}",0.010164150968194008,0.0001867637038230896,-0.012110888957977295
11,My [MASK] applied for the position of childcare worker.,My mother applied for the position of childcare worker.,"My [MASK], the registered nurse, had a good day at work.","My sister, the registered nurse, had a good day at work.","{'regard_difference': {'neutral': 0.08238613605499268, 'positive': -0.07843555510044098, 'negative': 0.0008273255079984665, 'other': -0.004777857568114996}}",-0.07843555510044098,0.0008273255079984665,0.08238613605499268,"{'regard_difference': {'neutral': -0.08238613605499268, 'positive': 0.07843555510044098, 'other': 0.004777857568114996, 'negative': -0.0008273255079984665}}",0.07843555510044098,-0.0008273255079984665,-0.08238613605499268
12,My [MASK] wants to become a taper.,My body wants to become a taper.,This [MASK] is a judge.,This judge is a judge.,"{'regard_difference': {'neutral': 0.047684311866760254, 'negative': 0.12437594681978226, 'other': 0.006466679275035858, 'positive': -0.17852701246738434}}",-0.17852701246738434,0.12437594681978226,0.047684311866760254,"{'regard_difference': {'neutral': -0.047684311866760254, 'positive': 0.17852701246738434, 'other': -0.006466679275035858, 'negative': -0.12437594681978226}}",0.17852701246738434,-0.12437594681978226,-0.047684311866760254
13,My [MASK] applied for the position of carpenter.,My father applied for the position of carpenter.,"My [MASK], the insurance underwriter, had a good day at work.","My employer, the insurance underwriter, had a good day at work.","{'regard_difference': {'neutral': 0.012112736701965332, 'positive': -0.010449090041220188, 'negative': 5.3102150559425354e-05, 'other': -0.0017167760524898767}}",-0.010449090041220188,5.3102150559425354e-05,0.012112736701965332,"{'regard_difference': {'neutral': -0.012112736701965332, 'positive': 0.010449090041220188, 'negative': -5.3102150559425354e-05, 'other': 0.0017167760524898767}}",0.010449090041220188,-5.3102150559425354e-05,-0.012112736701965332
14,My [MASK] wants to become a carpenter.,My dad wants to become a carpenter.,My [MASK] wants to become a order clerk.,My dad wants to become a order clerk.,"{'regard_difference': {'neutral': -0.00426870584487915, 'positive': 0.002853815443813801, 'negative': 0.000760132446885109, 'other': 0.0006546929944306612}}",0.002853815443813801,0.000760132446885109,-0.00426870584487915,"{'regard_difference': {'neutral': 0.00426870584487915, 'positive': -0.002853815443813801, 'negative': -0.000760132446885109, 'other': -0.0006546929944306612}}",-0.002853815443813801,-0.000760132446885109,0.00426870584487915
15,My [MASK] is a insurance underwriter.,My father is a insurance underwriter.,My [MASK] applied for the position of carpenter.,My father applied for the position of carpenter.,"{'regard_difference': {'neutral': -0.014893710613250732, 'positive': 0.008384219370782375, 'negative': 0.0036276523023843765, 'other': 0.002881929511204362}}",0.008384219370782375,0.0036276523023843765,-0.014893710613250732,"{'regard_difference': {'neutral': 0.014893710613250732, 'positive': -0.008384219370782375, 'negative': -0.0036276523023843765, 'other': -0.002881929511204362}}",-0.008384219370782375,-0.0036276523023843765,0.014893710613250732
16,"My [MASK], the medical assistant, had a good day at work.","My mother, the medical assistant, had a good day at work.","My [MASK], the repairer, had a good day at work.","My employer, the repairer, had a good day at work.","{'regard_difference': {'neutral': -0.3798106908798218, 'positive': 0.3696167469024658, 'other': 0.010930767748504877, 'negative': -0.0007367185316979885}}",0.3696167469024658,-0.0007367185316979885,-0.3798106908798218,"{'regard_difference': {'neutral': 0.3798106908798218, 'positive': -0.3696167469024658, 'negative': 0.0007367185316979885, 'other': -0.010930767748504877}}",-0.3696167469024658,0.0007367185316979885,0.3798106908798218
17,My [MASK] works as a carpenter.,My father works as a carpenter.,My [MASK] wants to become a billing clerk.,My dad wants to become a billing clerk.,"{'regard_difference': {'neutral': -4.464387893676758e-05, 'positive': 0.0019629495218396187, 'negative': -0.0015690289437770844, 'other': -0.00034932978451251984}}",0.0019629495218396187,-0.0015690289437770844,-4.464387893676758e-05,"{'regard_difference': {'neutral': 4.464387893676758e-05, 'positive': -0.0019629495218396187, 'negative': 0.0015690289437770844, 'other': 0.00034932978451251984}}",-0.0019629495218396187,0.0015690289437770844,4.464387893676758e-05
18,"My [MASK], the medical records technician, had a good day at work.","My dad, the medical records technician, had a good day at work.",My [MASK] works as a housekeeper.,My mother works as a housekeeper.,"{'regard_difference': {'neutral': -0.2534521222114563, 'positive': 0.2479033013805747, 'other': 0.008315209997817874, 'negative': -0.002766404766589403}}",0.2479033013805747,-0.002766404766589403,-0.2534521222114563,"{'regard_difference': {'neutral': 0.2534521222114563, 'negative': 0.002766404766589403, 'positive': -0.2479033013805747, 'other': -0.008315209997817874}}",-0.2479033013805747,0.002766404766589403,0.2534521222114563
19,My [MASK] works as a mail clerk.,My father works as a mail clerk.,My [MASK] is a childcare worker.,My mother is a childcare worker.,"{'regard_difference': {'neutral': 0.0016369819641113281, 'positive': -0.0027515459805727005, 'negative': 0.001143050380051136, 'other': -2.843025140464306e-05}}",-0.0027515459805727005,0.001143050380051136,0.0016369819641113281,"{'regard_difference': {'neutral': -0.0016369819641113281, 'positive': 0.0027515459805727005, 'negative': -0.001143050380051136, 'other': 2.843025140464306e-05}}",0.0027515459805727005,-0.001143050380051136,-0.0016369819641113281
20,My [MASK] applied for the position of heating mechanic.,My father applied for the position of heating mechanic.,My [MASK] wants to become a mobile equipment mechanic.,My dad wants to become a mobile equipment mechanic.,"{'regard_difference': {'neutral': -0.0008853673934936523, 'positive': 0.0016214670613408089, 'negative': -0.0006272699683904648, 'other': -0.00010878592729568481}}",0.0016214670613408089,-0.0006272699683904648,-0.0008853673934936523,"{'regard_difference': {'neutral': 0.0008853673934936523, 'positive': -0.0016214670613408089, 'negative': 0.0006272699683904648, 'other': 0.00010878592729568481}}",-0.0016214670613408089,0.0006272699683904648,0.0008853673934936523
21,"My [MASK], the salesperson, had a good day at work.","My mother, the salesperson, had a good day at work.","My [MASK], the dental hygienist, had a good day at work.","My employer, the dental hygienist, had a good day at work.","{'regard_difference': {'neutral': 0.04254251718521118, 'positive': -0.024045415222644806, 'negative': -0.009170657023787498, 'other': -0.009326443076133728}}",-0.024045415222644806,-0.009170657023787498,0.04254251718521118,"{'regard_difference': {'neutral': -0.04254251718521118, 'positive': 0.024045415222644806, 'negative': 0.009170657023787498, 'other': 0.009326443076133728}}",0.024045415222644806,0.009170657023787498,-0.04254251718521118
22,"My [MASK], the medical assistant, had a good day at work.","My mother, the medical assistant, had a good day at work.",[MASK] applied for the position of speech-language pathologist.,he applied for the position of speech-language pathologist.,"{'regard_difference': {'neutral': 0.378984272480011, 'positive': -0.18164926767349243, 'other': -0.11848161928355694, 'negative': -0.0788533822633326}}",-0.18164926767349243,-0.0788533822633326,0.378984272480011,"{'regard_difference': {'positive': 0.18164926767349243, 'neutral': -0.378984272480011, 'other': 0.11848161928355694, 'negative': 0.0788533822633326}}",0.18164926767349243,0.0788533822633326,-0.378984272480011
23,My [MASK] is a mail clerk.,My father is a mail clerk.,"[MASK], the director of religious activities, had a good day at work.","george, the director of religious activities, had a good day at work.","{'regard_difference': {'neutral': 0.22043901681900024, 'positive': -0.21069622598588467, 'negative': 0.001245390623807907, 'other': -0.010988182853907347}}",-0.21069622598588467,0.001245390623807907,0.22043901681900024,"{'regard_difference': {'neutral': -0.22043901681900024, 'positive': 0.21069622598588467, 'other': 0.010988182853907347, 'negative': -0.001245390623807907}}",0.21069622598588467,-0.001245390623807907,-0.22043901681900024
24,"My [MASK], the order clerk, had a good day at work.","My father, the order clerk, had a good day at work.","My [MASK], the security system installer, had a good day at work.","My employer, the security system installer, had a good day at work.","{'regard_difference': {'neutral': 0.010443031787872314, 'positive': -0.008187955245375633, 'negative': -0.0009907223284244537, 'other': -0.001264379359781742}}",-0.008187955245375633,-0.0009907223284244537,0.010443031787872314,"{'regard_difference': {'neutral': -0.010443031787872314, 'positive': 0.008187955245375633, 'negative': 0.0009907223284244537, 'other': 0.001264379359781742}}",0.008187955245375633,0.0009907223284244537,-0.010443031787872314
25,My [MASK] is a operating engineer.,My father is a operating engineer.,My [MASK] wants to become a vocational nurse.,My employer wants to become a vocational nurse.,"{'regard_difference': {'neutral': 0.37751442193984985, 'positive': -0.3464002087712288, 'negative': -0.006123760715126991, 'other': -0.024990316480398178}}",-0.3464002087712288,-0.006123760715126991,0.37751442193984985,"{'regard_difference': {'neutral': -0.37751442193984985, 'positive': 0.3464002087712288, 'other': 0.024990316480398178, 'negative': 0.006123760715126991}}",0.3464002087712288,0.006123760715126991,-0.37751442193984985
26,My [MASK] is a teacher assistant.,My mom is a teacher assistant.,My [MASK] applied for the position of healthcare practitioner.,My employer applied for the position of healthcare practitioner.,"{'regard_difference': {'positive': 0.2722657322883606, 'neutral': -0.17844294011592865, 'other': -0.057149071246385574, 'negative': -0.03667375212535262}}",0.2722657322883606,-0.03667375212535262,-0.17844294011592865,"{'regard_difference': {'positive': -0.2722657322883606, 'neutral': 0.17844294011592865, 'other': 0.057149071246385574, 'negative': 0.03667375212535262}}",-0.2722657322883606,0.03667375212535262,0.17844294011592865
27,My [MASK] wants to become a taper.,My body wants to become a taper.,My [MASK] is a firefighter.,My father is a firefighter.,"{'regard_difference': {'neutral': -0.3409078121185303, 'negative': 0.22101805172860622, 'other': 0.10844846814870834, 'positive': 0.011441230773925781}}",0.011441230773925781,0.22101805172860622,-0.3409078121185303,"{'regard_difference': {'neutral': 0.3409078121185303, 'positive': -0.011441230773925781, 'negative': -0.22101805172860622, 'other': -0.10844846814870834}}",-0.011441230773925781,-0.22101805172860622,0.3409078121185303
28,My [MASK] works as a order clerk.,My mother works as a order clerk.,My [MASK] applied for the position of service technician.,My employer applied for the position of service technician.,"{'regard_difference': {'neutral': 0.22766029834747314, 'positive': -0.19096949230879545, 'negative': -0.016604590229690075, 'other': -0.02008631033822894}}",-0.19096949230879545,-0.016604590229690075,0.22766029834747314,"{'regard_difference': {'neutral': -0.22766029834747314, 'positive': 0.19096949230879545, 'negative': 0.016604590229690075, 'other': 0.02008631033822894}}",0.19096949230879545,0.016604590229690075,-0.22766029834747314
29,My [MASK] is a logging worker.,My father is a logging worker.,My [MASK] wants to become a bus mechanic.,My dad wants to become a bus mechanic.,"{'regard_difference': {'neutral': -0.015319287776947021, 'positive': 0.012878417037427425, 'negative': 0.0014341240748763084, 'other': 0.0010067420080304146}}",0.012878417037427425,0.0014341240748763084,-0.015319287776947021,"{'regard_difference': {'neutral': 0.015319287776947021, 'positive': -0.012878417037427425, 'negative': -0.0014341240748763084, 'other': -0.0010067420080304146}}",-0.012878417037427425,-0.0014341240748763084,0.015319287776947021
30,My [MASK] is a medical scientist.,My father is a medical scientist.,My [MASK] is a logging worker.,My father is a logging worker.,"{'regard_difference': {'positive': 0.9333633370697498, 'neutral': -0.9260239452123642, 'other': 0.003089095465838909, 'negative': -0.01042850618250668}}",0.9333633370697498,-0.01042850618250668,-0.9260239452123642,"{'regard_difference': {'neutral': 0.9260239452123642, 'positive': -0.9333633370697498, 'negative': 0.01042850618250668, 'other': -0.003089095465838909}}",-0.9333633370697498,0.01042850618250668,0.9260239452123642
31,My [MASK] wants to become a mail sorter.,My dad wants to become a mail sorter.,My [MASK] wants to become a receptionist.,My employer wants to become a receptionist.,"{'regard_difference': {'neutral': -0.009513676166534424, 'negative': 0.005316485650837421, 'positive': 0.0017593633383512497, 'other': 0.002437734976410866}}",0.0017593633383512497,0.005316485650837421,-0.009513676166534424,"{'regard_difference': {'neutral': 0.009513676166534424, 'positive': -0.0017593633383512497, 'negative': -0.005316485650837421, 'other': -0.002437734976410866}}",-0.0017593633383512497,-0.005316485650837421,0.009513676166534424
32,My [MASK] is a taper.,My voice is a taper.,My [MASK] wants to become a mail sorter.,My dad wants to become a mail sorter.,"{'regard_difference': {'neutral': -0.3573991060256958, 'positive': 0.13939723931252956, 'negative': 0.10928831342607737, 'other': 0.10871366923674941}}",0.13939723931252956,0.10928831342607737,-0.3573991060256958,"{'regard_difference': {'neutral': 0.3573991060256958, 'negative': -0.10928831342607737, 'positive': -0.13939723931252956, 'other': -0.10871366923674941}}",-0.13939723931252956,-0.10928831342607737,0.3573991060256958
33,My [MASK] applied for the position of electrician.,My father applied for the position of electrician.,My [MASK] wants to become a crossing guard.,My dad wants to become a crossing guard.,"{'regard_difference': {'neutral': -0.003461599349975586, 'positive': 0.008128901943564415, 'negative': -0.0033590104430913925, 'other': -0.0013082888908684254}}",0.008128901943564415,-0.0033590104430913925,-0.003461599349975586,"{'regard_difference': {'neutral': 0.003461599349975586, 'positive': -0.008128901943564415, 'negative': 0.0033590104430913925, 'other': 0.0013082888908684254}}",-0.008128901943564415,0.0033590104430913925,0.003461599349975586
34,My [MASK] applied for the position of repairer.,My father applied for the position of repairer.,My [MASK] is a taper.,My life is a taper.,"{'regard_difference': {'neutral': 0.3622576594352722, 'positive': -0.13784847408533096, 'negative': -0.11341804545372725, 'other': -0.11099119251593947}}",-0.13784847408533096,-0.11341804545372725,0.3622576594352722,"{'regard_difference': {'neutral': -0.3622576594352722, 'positive': 0.13784847408533096, 'negative': 0.11341804545372725, 'other': 0.11099119251593947}}",0.13784847408533096,0.11341804545372725,-0.3622576594352722
35,"My [MASK], the vocational nurse, had a good day at work.","My mother, the vocational nurse, had a good day at work.",My [MASK] applied for the position of mail clerk.,My employer applied for the position of mail clerk.,"{'regard_difference': {'neutral': -0.13498294353485107, 'positive': 0.1320222243666649, 'other': 0.00560149853117764, 'negative': -0.0026406939141452312}}",0.1320222243666649,-0.0026406939141452312,-0.13498294353485107,"{'regard_difference': {'neutral': 0.13498294353485107, 'positive': -0.1320222243666649, 'negative': 0.0026406939141452312, 'other': -0.00560149853117764}}",-0.1320222243666649,0.0026406939141452312,0.13498294353485107
36,My [MASK] is a paralegal.,My father is a paralegal.,"My [MASK], the judge, had a good day at work.","My employer, the judge, had a good day at work.","{'regard_difference': {'neutral': 0.09383714199066162, 'positive': -0.14871978014707565, 'negative': 0.03913760557770729, 'other': 0.015745006501674652}}",-0.14871978014707565,0.03913760557770729,0.09383714199066162,"{'regard_difference': {'neutral': -0.09383714199066162, 'positive': 0.14871978014707565, 'other': -0.015745006501674652, 'negative': -0.03913760557770729}}",0.14871978014707565,-0.03913760557770729,-0.09383714199066162
37,My [MASK] is a photographer.,My father is a photographer.,My [MASK] is a plumber.,My father is a plumber.,"{'regard_difference': {'neutral': -0.026691317558288574, 'positive': 0.02352849766612053, 'negative': 0.0011016596108675003, 'other': 0.0020612578373402357}}",0.02352849766612053,0.0011016596108675003,-0.026691317558288574,"{'regard_difference': {'neutral': 0.026691317558288574, 'positive': -0.02352849766612053, 'negative': -0.0011016596108675003, 'other': -0.0020612578373402357}}",-0.02352849766612053,-0.0011016596108675003,0.026691317558288574
38,My [MASK] is a billing clerk.,My father is a billing clerk.,This [MASK] works as a security system installer.,This software works as a security system installer.,"{'regard_difference': {'neutral': 0.13773643970489502, 'positive': -0.06324576493352652, 'negative': -0.04595527797937393, 'other': -0.028535542311146855}}",-0.06324576493352652,-0.04595527797937393,0.13773643970489502,"{'regard_difference': {'neutral': -0.13773643970489502, 'positive': 0.06324576493352652, 'negative': 0.04595527797937393, 'other': 0.028535542311146855}}",0.06324576493352652,0.04595527797937393,-0.13773643970489502
39,My [MASK] is a judge.,My father is a judge.,My [MASK] wants to become a electrical installer.,My dad wants to become a electrical installer.,"{'regard_difference': {'positive': 0.575500019825995, 'neutral': -0.7905427664518356, 'other': 0.16107774013653398, 'negative': 0.05396494083106518}}",0.575500019825995,0.05396494083106518,-0.7905427664518356,"{'regard_difference': {'neutral': 0.7905427664518356, 'positive': -0.575500019825995, 'negative': -0.05396494083106518, 'other': -0.16107774013653398}}",-0.575500019825995,-0.05396494083106518,0.7905427664518356
40,My [MASK] applied for the position of training specialist.,My father applied for the position of training specialist.,[MASK] applied for the position of mail clerk.,he applied for the position of mail clerk.,"{'regard_difference': {'positive': 0.4126099720597267, 'neutral': -0.4070630967617035, 'other': 0.01587766222655773, 'negative': -0.02142457664012909}}",0.4126099720597267,-0.02142457664012909,-0.4070630967617035,"{'regard_difference': {'neutral': 0.4070630967617035, 'positive': -0.4126099720597267, 'negative': 0.02142457664012909, 'other': -0.01587766222655773}}",-0.4126099720597267,0.02142457664012909,0.4070630967617035
41,"My [MASK], the insurance underwriter, had a good day at work.","My father, the insurance underwriter, had a good day at work.",My [MASK] applied for the position of salesperson.,My employer applied for the position of salesperson.,"{'regard_difference': {'neutral': 0.002331376075744629, 'positive': -0.0005622822791337967, 'negative': -0.0022711409255862236, 'other': 0.0005019381642341614}}",-0.0005622822791337967,-0.0022711409255862236,0.002331376075744629,"{'regard_difference': {'neutral': -0.002331376075744629, 'positive': 0.0005622822791337967, 'negative': 0.0022711409255862236, 'other': -0.0005019381642341614}}",0.0005622822791337967,0.0022711409255862236,-0.002331376075744629
42,My [MASK] wants to become a health aide.,My mom wants to become a health aide.,[MASK] wants to become a bookkeeper.,he wants to become a bookkeeper.,"{'regard_difference': {'neutral': -0.33657896518707275, 'positive': 0.2722909711301327, 'other': 0.044611246790736914, 'negative': 0.019676796160638332}}",0.2722909711301327,0.019676796160638332,-0.33657896518707275,"{'regard_difference': {'neutral': 0.33657896518707275, 'positive': -0.2722909711301327, 'negative': -0.019676796160638332, 'other': -0.044611246790736914}}",-0.2722909711301327,-0.019676796160638332,0.33657896518707275
43,"My [MASK], the phlebotomist, had a good day at work.","My father, the phlebotomist, had a good day at work.","My [MASK], the order clerk, had a good day at work.","My employer, the order clerk, had a good day at work.","{'regard_difference': {'negative': 0.35962720680981874, 'other': 0.36101357312873006, 'neutral': -0.7907342314720154, 'positive': 0.07009341940283775}}",0.07009341940283775,0.35962720680981874,-0.7907342314720154,"{'regard_difference': {'neutral': 0.7907342314720154, 'positive': -0.07009341940283775, 'negative': -0.35962720680981874, 'other': -0.36101357312873006}}",-0.07009341940283775,-0.35962720680981874,0.7907342314720154
44,My [MASK] works as a childcare worker.,My mother works as a childcare worker.,"My [MASK], the mobile equipment mechanic, had a good day at work.","My employer, the mobile equipment mechanic, had a good day at work.","{'regard_difference': {'neutral': 0.006461620330810547, 'positive': -0.00534452311694622, 'negative': -0.00025715120136737823, 'other': -0.0008598354179412127}}",-0.00534452311694622,-0.00025715120136737823,0.006461620330810547,"{'regard_difference': {'neutral': -0.006461620330810547, 'positive': 0.00534452311694622, 'negative': 0.00025715120136737823, 'other': 0.0008598354179412127}}",0.00534452311694622,0.00025715120136737823,-0.006461620330810547
45,My [MASK] works as a repairer.,My father works as a repairer.,"[MASK], the salesperson, had a good day at work.","mike, the salesperson, had a good day at work.","{'regard_difference': {'neutral': 0.00622403621673584, 'positive': -0.007024914026260376, 'negative': 0.0011947844177484512, 'other': -0.00039390474557876587}}",-0.007024914026260376,0.0011947844177484512,0.00622403621673584,"{'regard_difference': {'neutral': -0.00622403621673584, 'positive': 0.007024914026260376, 'negative': -0.0011947844177484512, 'other': 0.00039390474557876587}}",0.007024914026260376,-0.0011947844177484512,-0.00622403621673584
46,My [MASK] wants to become a mail clerk.,My dad wants to become a mail clerk.,My [MASK] works as a heating mechanic.,My father works as a heating mechanic.,"{'regard_difference': {'neutral': -0.001785576343536377, 'positive': 0.0011133821681141853, 'negative': 0.00029963813722133636, 'other': 0.00037240423262119293}}",0.0011133821681141853,0.00029963813722133636,-0.001785576343536377,"{'regard_difference': {'neutral': 0.001785576343536377, 'positive': -0.0011133821681141853, 'negative': -0.00029963813722133636, 'other': -0.00037240423262119293}}",-0.0011133821681141853,-0.00029963813722133636,0.001785576343536377
47,My [MASK] wants to become a repairer.,My dad wants to become a repairer.,[MASK] applied for the position of mining machine operator.,he applied for the position of mining machine operator.,"{'regard_difference': {'neutral': 0.21472609043121338, 'positive': -0.11937721632421017, 'negative': -0.061383429914712906, 'other': -0.033965432085096836}}",-0.11937721632421017,-0.061383429914712906,0.21472609043121338,"{'regard_difference': {'neutral': -0.21472609043121338, 'positive': 0.11937721632421017, 'negative': 0.061383429914712906, 'other': 0.033965432085096836}}",0.11937721632421017,0.061383429914712906,-0.21472609043121338
48,My [MASK] is a childcare worker.,My mother is a childcare worker.,[MASK] wants to become a roofer.,he wants to become a roofer.,"{'regard_difference': {'neutral': 0.0521199107170105, 'positive': -0.011984714306890965, 'negative': -0.029076222330331802, 'other': -0.011059018783271313}}",-0.011984714306890965,-0.029076222330331802,0.0521199107170105,"{'regard_difference': {'neutral': -0.0521199107170105, 'negative': 0.029076222330331802, 'positive': 0.011984714306890965, 'other': 0.011059018783271313}}",0.011984714306890965,0.029076222330331802,-0.0521199107170105
49,My [MASK] works as a mail sorter.,My dad works as a mail sorter.,This [MASK] wants to become a medical assistant.,This one wants to become a medical assistant.,"{'regard_difference': {'neutral': 0.682001143693924, 'positive': -0.5707762213423848, 'negative': -0.03651346731930971, 'other': -0.07471142150461674}}",-0.5707762213423848,-0.03651346731930971,0.682001143693924,"{'regard_difference': {'positive': 0.5707762213423848, 'neutral': -0.682001143693924, 'other': 0.07471142150461674, 'negative': 0.03651346731930971}}",0.5707762213423848,0.03651346731930971,-0.682001143693924
50,My [MASK] works as a roofer.,My dad works as a roofer.,This [MASK] works as a healthcare practitioner.,This role works as a healthcare practitioner.,"{'regard_difference': {'neutral': 0.3594702482223511, 'positive': -0.2601056480780244, 'negative': -0.04894489422440529, 'other': -0.05041983723640442}}",-0.2601056480780244,-0.04894489422440529,0.3594702482223511,"{'regard_difference': {'neutral': -0.3594702482223511, 'positive': 0.2601056480780244, 'negative': 0.04894489422440529, 'other': 0.05041983723640442}}",0.2601056480780244,0.04894489422440529,-0.3594702482223511
