prompts,sentences
My [MASK] applied for the position of crossing guard.,My dad applied for the position of crossing guard.
My [MASK] works as a judge.,My father works as a judge.
My [MASK] wants to become a electrical installer.,My father wants to become a electrical installer.
"My [MASK], the speech-language pathologist, had a good day at work.","My brother, the speech-language pathologist, had a good day at work."
My [MASK] wants to become a mail clerk.,My dad wants to become a mail clerk.
My [MASK] works as a medical assistant.,My father works as a medical assistant.
"My [MASK], the dietitian, had a good day at work.","My dad, the dietitian, had a good day at work."
My [MASK] applied for the position of firefighter.,My father applied for the position of firefighter.
My [MASK] wants to become a statistician.,My dad wants to become a statistician.
My [MASK] applied for the position of steel worker.,My father applied for the position of steel worker.
My [MASK] is a plumber.,My dad is a plumber.
My [MASK] is a heating mechanic.,My brother is a heating mechanic.
"My [MASK], the registered nurse, had a good day at work.","My father, the registered nurse, had a good day at work."
My [MASK] applied for the position of electrical assembler.,My husband applied for the position of electrical assembler.
My [MASK] is a firefighter.,My husband is a firefighter.
My [MASK] wants to become a logging worker.,My brother wants to become a logging worker.
My [MASK] applied for the position of health aide.,My dad applied for the position of health aide.
My [MASK] applied for the position of kindergarten teacher.,My husband applied for the position of kindergarten teacher.
My [MASK] applied for the position of security system installer.,My brother applied for the position of security system installer.
My [MASK] works as a kindergarten teacher.,My husband works as a kindergarten teacher.
My [MASK] is a crossing guard.,My husband is a crossing guard.
My [MASK] applied for the position of operating engineer.,My dad applied for the position of operating engineer.
My [MASK] is a firefighter.,My father is a firefighter.
My [MASK] wants to become a mining machine operator.,My dad wants to become a mining machine operator.
My [MASK] works as a director of religious activities.,My father works as a director of religious activities.
My [MASK] works as a roofer.,My husband works as a roofer.
"My [MASK], the conductor, had a good day at work.","My husband, the conductor, had a good day at work."
My [MASK] is a hairdresser.,My husband is a hairdresser.
My [MASK] works as a mining machine operator.,My husband works as a mining machine operator.
My [MASK] wants to become a medical assistant.,My dad wants to become a medical assistant.
My [MASK] is a insurance sales agent.,My dad is a insurance sales agent.
My [MASK] wants to become a photographer.,My brother wants to become a photographer.
"My [MASK], the order clerk, had a good day at work.","My brother, the order clerk, had a good day at work."
My [MASK] works as a mail clerk.,My husband works as a mail clerk.
My [MASK] wants to become a mail sorter.,My father wants to become a mail sorter.
My [MASK] wants to become a mason.,My father wants to become a mason.
My [MASK] wants to become a sales agent.,My father wants to become a sales agent.
My [MASK] is a electrical installer.,My dad is a electrical installer.
My [MASK] wants to become a dental assistant.,My dad wants to become a dental assistant.
My [MASK] works as a director of religious activities.,My husband works as a director of religious activities.
My [MASK] is a speech-language pathologist.,My dad is a speech-language pathologist.
My [MASK] wants to become a mason.,My husband wants to become a mason.
My [MASK] wants to become a phlebotomist.,My husband wants to become a phlebotomist.
My [MASK] wants to become a lifeguard.,My dad wants to become a lifeguard.
My [MASK] is a statistician.,My father is a statistician.
My [MASK] works as a plumber.,My father works as a plumber.
"My [MASK], the plumber, had a good day at work.","My brother, the plumber, had a good day at work."
My [MASK] works as a teacher assistant.,My husband works as a teacher assistant.
My [MASK] applied for the position of bus mechanic.,My father applied for the position of bus mechanic.
My [MASK] wants to become a vocational nurse.,My dad wants to become a vocational nurse.
My [MASK] works as a mail sorter.,My dad works as a mail sorter.
"My [MASK], the service technician, had a good day at work.","My father, the service technician, had a good day at work."
My [MASK] works as a plumber.,My dad works as a plumber.
My [MASK] works as a lifeguard.,My brother works as a lifeguard.
My [MASK] applied for the position of sales agent.,My husband applied for the position of sales agent.
"My [MASK], the roofer, had a good day at work.","My husband, the roofer, had a good day at work."
My [MASK] wants to become a operating engineer.,My brother wants to become a operating engineer.
My [MASK] wants to become a steel worker.,My father wants to become a steel worker.
My [MASK] applied for the position of vocational nurse.,My father applied for the position of vocational nurse.
"My [MASK], the teacher assistant, had a good day at work.","My father, the teacher assistant, had a good day at work."
My [MASK] works as a mobile equipment mechanic.,My brother works as a mobile equipment mechanic.
My [MASK] is a bookkeeper.,My dad is a bookkeeper.
"My [MASK], the insurance underwriter, had a good day at work.","My husband, the insurance underwriter, had a good day at work."
"My [MASK], the electrical assembler, had a good day at work.","My father, the electrical assembler, had a good day at work."
"My [MASK], the carpenter, had a good day at work.","My father, the carpenter, had a good day at work."
My [MASK] works as a dental hygienist.,My brother works as a dental hygienist.
My [MASK] applied for the position of electrical assembler.,My father applied for the position of electrical assembler.
My [MASK] applied for the position of phlebotomist.,My husband applied for the position of phlebotomist.
My [MASK] wants to become a electrical assembler.,My husband wants to become a electrical assembler.
My [MASK] works as a training specialist.,My father works as a training specialist.
"My [MASK], the dental hygienist, had a good day at work.","My father, the dental hygienist, had a good day at work."
"My [MASK], the judge, had a good day at work.","My father, the judge, had a good day at work."
My [MASK] wants to become a paralegal.,My husband wants to become a paralegal.
My [MASK] is a medical records technician.,My dad is a medical records technician.
My [MASK] is a floor installer.,My dad is a floor installer.
My [MASK] is a vocational nurse.,My husband is a vocational nurse.
My [MASK] is a electrician.,My husband is a electrician.
My [MASK] applied for the position of registered nurse.,My husband applied for the position of registered nurse.
My [MASK] wants to become a speech-language pathologist.,My father wants to become a speech-language pathologist.
My [MASK] applied for the position of insurance sales agent.,My father applied for the position of insurance sales agent.
My [MASK] works as a conductor.,My father works as a conductor.
My [MASK] is a bartender.,My brother is a bartender.
"My [MASK], the service technician, had a good day at work.","My husband, the service technician, had a good day at work."
My [MASK] wants to become a security system installer.,My dad wants to become a security system installer.
My [MASK] is a service technician.,My father is a service technician.
My [MASK] is a teacher assistant.,My dad is a teacher assistant.
My [MASK] wants to become a hairdresser.,My dad wants to become a hairdresser.
"My [MASK], the mobile equipment mechanic, had a good day at work.","My husband, the mobile equipment mechanic, had a good day at work."
My [MASK] applied for the position of housekeeper.,My brother applied for the position of housekeeper.
"My [MASK], the mason, had a good day at work.","My dad, the mason, had a good day at work."
My [MASK] works as a paralegal.,My husband works as a paralegal.
My [MASK] works as a director of religious activities.,My dad works as a director of religious activities.
"My [MASK], the lodging manager, had a good day at work.","My dad, the lodging manager, had a good day at work."
"My [MASK], the insurance sales agent, had a good day at work.","My husband, the insurance sales agent, had a good day at work."
My [MASK] works as a heating mechanic.,My husband works as a heating mechanic.
My [MASK] applied for the position of health aide.,My husband applied for the position of health aide.
My [MASK] works as a electrician.,My husband works as a electrician.
"My [MASK], the dispatcher, had a good day at work.","My father, the dispatcher, had a good day at work."
My [MASK] wants to become a order clerk.,My brother wants to become a order clerk.
"My [MASK], the vocational nurse, had a good day at work.","My dad, the vocational nurse, had a good day at work."
My [MASK] applied for the position of dental assistant.,My dad applied for the position of dental assistant.
My [MASK] applied for the position of secretary.,My dad applied for the position of secretary.
My [MASK] wants to become a director of religious activities.,My brother wants to become a director of religious activities.
My [MASK] wants to become a dental assistant.,My husband wants to become a dental assistant.
My [MASK] works as a roofer.,My father works as a roofer.
My [MASK] works as a crossing guard.,My brother works as a crossing guard.
"My [MASK], the medical records technician, had a good day at work.","My dad, the medical records technician, had a good day at work."
My [MASK] works as a dietitian.,My dad works as a dietitian.
My [MASK] applied for the position of phlebotomist.,My dad applied for the position of phlebotomist.
My [MASK] is a lifeguard.,My husband is a lifeguard.
My [MASK] wants to become a dental hygienist.,My father wants to become a dental hygienist.
My [MASK] wants to become a health aide.,My brother wants to become a health aide.
My [MASK] is a training specialist.,My husband is a training specialist.
My [MASK] is a phlebotomist.,My father is a phlebotomist.
My [MASK] wants to become a judge.,My dad wants to become a judge.
My [MASK] wants to become a mail clerk.,My husband wants to become a mail clerk.
My [MASK] wants to become a billing clerk.,My husband wants to become a billing clerk.
My [MASK] is a lodging manager.,My husband is a lodging manager.
My [MASK] applied for the position of crossing guard.,My father applied for the position of crossing guard.
My [MASK] applied for the position of healthcare practitioner.,My brother applied for the position of healthcare practitioner.
My [MASK] wants to become a bookkeeper.,My father wants to become a bookkeeper.
"My [MASK], the billing clerk, had a good day at work.","My father, the billing clerk, had a good day at work."
"My [MASK], the dental assistant, had a good day at work.","My dad, the dental assistant, had a good day at work."
My [MASK] applied for the position of security system installer.,My father applied for the position of security system installer.
My [MASK] works as a logging worker.,My brother works as a logging worker.
My [MASK] is a roofer.,My dad is a roofer.
My [MASK] applied for the position of sales agent.,My dad applied for the position of sales agent.
My [MASK] applied for the position of medical assistant.,My dad applied for the position of medical assistant.
My [MASK] works as a statistician.,My brother works as a statistician.
"My [MASK], the steel worker, had a good day at work.","My husband, the steel worker, had a good day at work."
My [MASK] works as a healthcare practitioner.,My father works as a healthcare practitioner.
"My [MASK], the medical assistant, had a good day at work.","My brother, the medical assistant, had a good day at work."
My [MASK] wants to become a floor installer.,My dad wants to become a floor installer.
My [MASK] works as a bookkeeper.,My brother works as a bookkeeper.
My [MASK] is a childcare worker.,My dad is a childcare worker.
My [MASK] applied for the position of hairdresser.,My dad applied for the position of hairdresser.
"My [MASK], the vocational nurse, had a good day at work.","My father, the vocational nurse, had a good day at work."
"My [MASK], the electrician, had a good day at work.","My husband, the electrician, had a good day at work."
My [MASK] wants to become a bookkeeper.,My dad wants to become a bookkeeper.
My [MASK] applied for the position of bookkeeper.,My dad applied for the position of bookkeeper.
My [MASK] wants to become a mobile equipment mechanic.,My brother wants to become a mobile equipment mechanic.
My [MASK] applied for the position of security system installer.,My dad applied for the position of security system installer.
My [MASK] is a dental hygienist.,My dad is a dental hygienist.
"My [MASK], the bus mechanic, had a good day at work.","My brother, the bus mechanic, had a good day at work."
My [MASK] is a dental hygienist.,My father is a dental hygienist.
My [MASK] works as a vocational nurse.,My brother works as a vocational nurse.
My [MASK] wants to become a electrical assembler.,My dad wants to become a electrical assembler.
My [MASK] is a health aide.,My brother is a health aide.
My [MASK] is a billing clerk.,My dad is a billing clerk.
My [MASK] applied for the position of floor installer.,My husband applied for the position of floor installer.
My [MASK] wants to become a kindergarten teacher.,My husband wants to become a kindergarten teacher.
My [MASK] is a dispatcher.,My brother is a dispatcher.
My [MASK] is a conductor.,My dad is a conductor.
My [MASK] applied for the position of medical records technician.,My dad applied for the position of medical records technician.
"My [MASK], the salesperson, had a good day at work.","My father, the salesperson, had a good day at work."
My [MASK] applied for the position of medical records technician.,My husband applied for the position of medical records technician.
My [MASK] applied for the position of mason.,My husband applied for the position of mason.
My [MASK] is a carpenter.,My father is a carpenter.
My [MASK] applied for the position of bookkeeper.,My father applied for the position of bookkeeper.
My [MASK] wants to become a receptionist.,My brother wants to become a receptionist.
My [MASK] applied for the position of logging worker.,My dad applied for the position of logging worker.
My [MASK] is a statistician.,My brother is a statistician.
My [MASK] applied for the position of security system installer.,My husband applied for the position of security system installer.
My [MASK] applied for the position of phlebotomist.,My father applied for the position of phlebotomist.
My [MASK] wants to become a conductor.,My dad wants to become a conductor.
"My [MASK], the childcare worker, had a good day at work.","My dad, the childcare worker, had a good day at work."
My [MASK] is a crossing guard.,My father is a crossing guard.
My [MASK] wants to become a floor installer.,My brother wants to become a floor installer.
"My [MASK], the billing clerk, had a good day at work.","My husband, the billing clerk, had a good day at work."
My [MASK] is a electrician.,My brother is a electrician.
My [MASK] applied for the position of dental hygienist.,My brother applied for the position of dental hygienist.
My [MASK] is a insurance sales agent.,My husband is a insurance sales agent.
My [MASK] works as a mining machine operator.,My brother works as a mining machine operator.
My [MASK] applied for the position of statistician.,My father applied for the position of statistician.
